"KT10(X), created by Plot Digitizer, 2.6.6"
"Date: 24/06/16, 11:26:06 AM"


24
X,KT10
0.00,3.04397,
0.0473817,3.03083,
0.0867746,3.01950,
0.130713,3.00690,
0.196624,3.03105,
0.249653,3.01580,
0.296625,3.04551,
0.339806,3.03302,
0.384502,3.02015,
0.429198,3.00733,
0.484499,2.99155,
0.565554,2.92650,
0.623117,2.78853,
0.671589,2.65936,
0.726868,2.42831,
0.760946,2.31900,
0.796532,2.15199,
0.832115,1.96870,
0.863909,1.80167,
0.895707,1.67252,
0.923710,1.50948,
0.955501,1.36184,
0.974417,1.24783,
1.0,1.14254,
