"rho2(R), created by Plot Digitizer, 2.6.6",
"Date: 24/06/16, 9:47:05 AM",
,
,
19,
R,rho2
0,0.624534
0.0607964,0.622137
0.129409,0.614087
0.207107,0.605904
0.274714,0.597135
0.345345,0.585002
0.417989,0.566547
0.483574,0.553621
0.54916,0.540695
0.617772,0.527645
0.686384,0.514595
0.751978,0.522148
0.810512,0.54023
0.861986,0.568841
0.903382,0.623584
0.928629,0.668749
0.947826,0.735401
0.968032,0.810012
1,1
