"rho1(R), created by Plot Digitizer, 2.6.6",
"Date: 24/06/16, 9:44:59 AM",
,
,
20,
R,rho1
0,0.194511
0.0586032,0.181916
0.132261,0.168659
0.1918,0.17646
0.264452,0.173484
0.32601,0.181203
0.388572,0.17864
0.453156,0.186235
0.523786,0.173102
0.586357,0.191019
0.6469,0.188539
0.705443,0.2271
0.763981,0.255422
0.807391,0.304843
0.860904,0.384569
0.905339,0.474907
0.931612,0.565989
0.952835,0.647038
0.975083,0.769004
1,1
